id,path,language,logical_loc,role,public_interface,target_go_command,status,notes
P011,scripts/effect_boundary_verifier/self_test.py,python,0,verifier,,cmd/effect-boundary,migration-required,Bootstrap inventory - Python verifier
P012,scripts/extract_kcov_line_coverage.py,python,0,verifier,,cmd/extract-kcov,migration-required,Bootstrap inventory - Python verifier
P013,scripts/generate_opkg_release_metadata.py,python,0,packaging,,cmd/gen-opkg-metadata,migration-required,Bootstrap inventory - Python packaging
P014,scripts/idle_staircase_analyzer.py,python,0,verifier,,cmd/idle-staircase,migration-required,Bootstrap inventory - Python verifier
P015,scripts/idle_staircase_analyzer_cli.py,python,0,verifier,,cmd/idle-staircase,migration-required,Bootstrap inventory - Python verifier
P016,scripts/idle_staircase_verifier/__init__.py,python,0,verifier,,cmd/idle-staircase,migration-required,Bootstrap inventory - Python verifier
P017,scripts/idle_staircase_verifier/artifact_checks.py,python,0,verifier,,cmd/idle-staircase,migration-required,Bootstrap inventory - Python verifier
P018,scripts/idle_staircase_verifier/correlation.py,python,0,verifier,,cmd/idle-staircase,migration-required,Bootstrap inventory - Python verifier
P019,scripts/idle_staircase_verifier/native_event_tests.py,python,0,verifier,,cmd/idle-staircase,migration-required,Bootstrap inventory - Python verifier
P020,scripts/idle_staircase_verifier/schema.py,python,0,verifier,,cmd/idle-staircase,migration-required,Bootstrap inventory - Python verifier
P021,scripts/idle_staircase_verifier/self_tests.py,python,0,verifier,,cmd/idle-staircase,migration-required,Bootstrap inventory - Python verifier
P022,scripts/idle_staircase_verifier/test_fixtures.py,python,0,verifier,,cmd/idle-staircase,migration-required,Bootstrap inventory - Python verifier
P023,scripts/ipk_fixture_builders.py,python,0,packaging,,cmd/ipk-fixtures,migration-required,Bootstrap inventory - Python packaging
P024,scripts/ipk_fixture_mutators.py,python,0,packaging,,cmd/ipk-fixtures,migration-required,Bootstrap inventory - Python packaging
P025,scripts/ipk_fixtures.py,python,0,packaging,,cmd/ipk-fixtures,migration-required,Bootstrap inventory - Python packaging
P026,scripts/ipk_tar_builder.py,python,0,packaging,,cmd/ipk-tar,migration-required,Bootstrap inventory - Python packaging
P027,scripts/ipk_verifier.py,python,0,verifier,,cmd/ipk-verifier,migration-required,Bootstrap inventory - Python verifier
P028,scripts/kcov_parsers.py,python,0,verifier,,cmd/kcov-parsers,migration-required,Bootstrap inventory - Python verifier
P029,scripts/lab_memory_attribution_matrix.py,python,0,lab-orchestration,lab-memory-attribution-matrix,cmd/memory-lab,migration-required,Bootstrap inventory - Python lab
P030,scripts/lab_runner/__init__.py,python,0,lab-orchestration,,cmd/lab-runner,migration-required,Bootstrap inventory - Python lab
P031,scripts/lab_runner/analyzer.py,python,0,lab-orchestration,,cmd/lab-runner,migration-required,Bootstrap inventory - Python lab
P032,scripts/lab_runner/artifacts.py,python,0,lab-orchestration,,cmd/lab-runner,migration-required,Bootstrap inventory - Python lab
P033,scripts/lab_runner/config.py,python,0,lab-orchestration,,cmd/lab-runner,migration-required,Bootstrap inventory - Python lab
P034,scripts/lab_runner/loop.py,python,0,lab-orchestration,,cmd/lab-runner,migration-required,Bootstrap inventory - Python lab
P035,scripts/lab_runner/main.py,python,0,lab-orchestration,,cmd/lab-runner,migration-required,Bootstrap inventory - Python lab
P036,scripts/lab_runner/proc.py,python,0,lab-orchestration,,cmd/lab-runner,migration-required,Bootstrap inventory - Python lab
P037,scripts/lab_runner/self_tests.py,python,0,lab-orchestration,,cmd/lab-runner,migration-required,Bootstrap inventory - Python lab
P038,scripts/lab_runner/tovarisch.py,python,0,lab-orchestration,,cmd/lab-runner,migration-required,Bootstrap inventory - Python lab
P039,scripts/lab_runner/validation.py,python,0,lab-orchestration,,cmd/lab-runner,migration-required,Bootstrap inventory - Python lab
P040,scripts/lab_tovarisch_idle_memory.py,python,0,lab-orchestration,lab-tovarisch-idle-memory,cmd/memory-lab,migration-required,Bootstrap inventory - Python lab
P041,scripts/memory_attribution_matrix/__init__.py,python,0,lab-orchestration,,cmd/memory-matrix,migration-required,Bootstrap inventory - Python lab
P042,scripts/memory_attribution_matrix/artifacts.py,python,0,lab-orchestration,,cmd/memory-matrix,migration-required,Bootstrap inventory - Python lab
P043,scripts/memory_attribution_matrix/main.py,python,0,lab-orchestration,,cmd/memory-matrix,migration-required,Bootstrap inventory - Python lab
P044,scripts/memory_attribution_matrix/parsing.py,python,0,lab-orchestration,,cmd/memory-matrix,migration-required,Bootstrap inventory - Python lab
P045,scripts/memory_attribution_matrix/runner.py,python,0,lab-orchestration,,cmd/memory-matrix,migration-required,Bootstrap inventory - Python lab
P046,scripts/memory_attribution_matrix/self_tests.py,python,0,lab-orchestration,,cmd/memory-matrix,migration-required,Bootstrap inventory - Python lab
P047,scripts/memory_attribution_matrix/validation.py,python,0,lab-orchestration,,cmd/memory-matrix,migration-required,Bootstrap inventory - Python lab
P048,scripts/memory_attribution_matrix/variants.py,python,0,lab-orchestration,,cmd/memory-matrix,migration-required,Bootstrap inventory - Python lab
P049,scripts/memory_attribution_matrix/verdict.py,python,0,lab-orchestration,,cmd/memory-matrix,migration-required,Bootstrap inventory - Python lab
P050,scripts/memory_attribution_matrix_verifier/__init__.py,python,0,verifier,,cmd/memory-matrix-verifier,migration-required,Bootstrap inventory - Python verifier
P051,scripts/memory_attribution_matrix_verifier/checks.py,python,0,verifier,,cmd/memory-matrix-verifier,migration-required,Bootstrap inventory - Python verifier
P052,scripts/memory_attribution_matrix_verifier/fixtures.py,python,0,verifier,,cmd/memory-matrix-verifier,migration-required,Bootstrap inventory - Python verifier
P053,scripts/memory_attribution_matrix_verifier/self_tests.py,python,0,verifier,,cmd/memory-matrix-verifier,migration-required,Bootstrap inventory - Python verifier
P054,scripts/memory_attribution_matrix_verifier/verify.py,python,0,verifier,,cmd/memory-matrix-verifier,migration-required,Bootstrap inventory - Python verifier
P055,scripts/tovarisch_status_rss_canary.py,python,0,verifier,tovarisch-status-rss-canary,cmd/rss-canary,migration-required,Bootstrap inventory - Python verifier
P056,scripts/tovarisch_status_rss_canary_lib.py,python,0,verifier,,cmd/rss-canary,migration-required,Bootstrap inventory - Python verifier
P057,scripts/tovarisch_test_base_fingerprint.py,python,0,verifier,tovarisch-test-base-fingerprint,cmd/test-fingerprint,migration-required,Bootstrap inventory - Python verifier
P058,scripts/total_parser_verifier/__init__.py,python,0,verifier,,cmd/total-parser-verifier,migration-required,Bootstrap inventory - Python verifier
P059,scripts/total_parser_verifier/classifications.py,python,0,verifier,,cmd/total-parser-verifier,migration-required,Bootstrap inventory - Python verifier
P060,scripts/total_parser_verifier/patterns.py,python,0,verifier,,cmd/total-parser-verifier,migration-required,Bootstrap inventory - Python verifier
P061,scripts/total_parser_verifier/scanner.py,python,0,verifier,,cmd/total-parser-verifier,migration-required,Bootstrap inventory - Python verifier
P062,scripts/total_parser_verifier/scanner_accepted_pattern_tests.py,python,0,verifier,,cmd/total-parser-verifier,migration-required,Bootstrap inventory - Python verifier
P063,scripts/total_parser_verifier/scanner_second_ring_tests.py,python,0,verifier,,cmd/total-parser-verifier,migration-required,Bootstrap inventory - Python verifier
P064,scripts/total_parser_verifier/scanner_tests.py,python,0,verifier,,cmd/total-parser-verifier,migration-required,Bootstrap inventory - Python verifier
P065,scripts/total_parser_verifier/self_test.py,python,0,verifier,,cmd/total-parser-verifier,migration-required,Bootstrap inventory - Python verifier
P066,scripts/uvb76_artifact_secret_hygiene/__init__.py,python,0,verifier,,cmd/uvb76-secret-hygiene,migration-required,Bootstrap inventory - Python verifier
P067,scripts/uvb76_artifact_secret_hygiene/inventory.py,python,0,verifier,,cmd/uvb76-secret-hygiene,migration-required,Bootstrap inventory - Python verifier
P068,scripts/uvb76_artifact_secret_hygiene/main.py,python,0,verifier,,cmd/uvb76-secret-hygiene,migration-required,Bootstrap inventory - Python verifier
P069,scripts/uvb76_artifact_secret_hygiene/ownership.py,python,0,verifier,,cmd/uvb76-secret-hygiene,migration-required,Bootstrap inventory - Python verifier
P070,scripts/uvb76_artifact_secret_hygiene/registry_loader.py,python,0,verifier,,cmd/uvb76-secret-hygiene,migration-required,Bootstrap inventory - Python verifier
P071,scripts/uvb76_artifact_secret_hygiene/registry_validation.py,python,0,verifier,,cmd/uvb76-secret-hygiene,migration-required,Bootstrap inventory - Python verifier
P072,scripts/uvb76_artifact_secret_hygiene/rules.py,python,0,verifier,,cmd/uvb76-secret-hygiene,migration-required,Bootstrap inventory - Python verifier
P073,scripts/uvb76_artifact_secret_hygiene/scanner.py,python,0,verifier,,cmd/uvb76-secret-hygiene,migration-required,Bootstrap inventory - Python verifier
P074,scripts/uvb76_artifact_secret_hygiene/structured_scanner.py,python,0,verifier,,cmd/uvb76-secret-hygiene,migration-required,Bootstrap inventory - Python verifier
P075,scripts/uvb76_artifact_secret_hygiene/tests.py,python,0,verifier,,cmd/uvb76-secret-hygiene,migration-required,Bootstrap inventory - Python verifier
P076,scripts/uvb76_artifact_secret_hygiene/tests/__init__.py,python,0,verifier,,cmd/uvb76-secret-hygiene,migration-required,Bootstrap inventory - Python verifier
P077,scripts/uvb76_artifact_secret_hygiene/tests/bounds_tests.py,python,0,verifier,,cmd/uvb76-secret-hygiene,migration-required,Bootstrap inventory - Python verifier
P078,scripts/uvb76_artifact_secret_hygiene/tests/go_parser_tests.py,python,0,verifier,,cmd/uvb76-secret-hygiene,migration-required,Bootstrap inventory - Python verifier
P079,scripts/uvb76_artifact_secret_hygiene/tests/malformed_fixture_tests.py,python,0,verifier,,cmd/uvb76-secret-hygiene,migration-required,Bootstrap inventory - Python verifier
P080,scripts/uvb76_artifact_secret_hygiene/tests/mutation_tests.py,python,0,verifier,,cmd/uvb76-secret-hygiene,migration-required,Bootstrap inventory - Python verifier
P081,scripts/uvb76_artifact_secret_hygiene/tests/ownership_mutation_tests.py,python,0,verifier,,cmd/uvb76-secret-hygiene,migration-required,Bootstrap inventory - Python verifier
P082,scripts/uvb76_artifact_secret_hygiene/tests/ownership_tests.py,python,0,verifier,,cmd/uvb76-secret-hygiene,migration-required,Bootstrap inventory - Python verifier
P083,scripts/uvb76_artifact_secret_hygiene/tests/positive_tests.py,python,0,verifier,,cmd/uvb76-secret-hygiene,migration-required,Bootstrap inventory - Python verifier
P084,scripts/uvb76_artifact_secret_hygiene/tests/projection_tests.py,python,0,verifier,,cmd/uvb76-secret-hygiene,migration-required,Bootstrap inventory - Python verifier
P085,scripts/uvb76_artifact_secret_hygiene/tests/registry_tests.py,python,0,verifier,,cmd/uvb76-secret-hygiene,migration-required,Bootstrap inventory - Python verifier
P086,scripts/uvb76_artifact_secret_hygiene/tests/safety_tests.py,python,0,verifier,,cmd/uvb76-secret-hygiene,migration-required,Bootstrap inventory - Python verifier
P087,scripts/uvb76_artifact_secret_hygiene/tests/self_test.py,python,0,verifier,,cmd/uvb76-secret-hygiene,migration-required,Bootstrap inventory - Python verifier
P088,scripts/uvb76_capture_state_contracts/__init__.py,python,0,verifier,hulk-uvb76-capture-gate,cmd/uvb76-capture-state,migration-required,Bootstrap inventory - Python verifier
P089,scripts/uvb76_capture_state_contracts/check_makefile.py,python,0,verifier,,cmd/uvb76-capture-state,migration-required,Bootstrap inventory - Python verifier
P090,scripts/uvb76_capture_state_contracts/constants.py,python,0,verifier,,cmd/uvb76-capture-state,migration-required,Bootstrap inventory - Python verifier
P091,scripts/uvb76_capture_state_contracts/inventory.py,python,0,verifier,,cmd/uvb76-capture-state,migration-required,Bootstrap inventory - Python verifier
P092,scripts/uvb76_capture_state_contracts/json_normalize.py,python,0,verifier,,cmd/uvb76-capture-state,migration-required,Bootstrap inventory - Python verifier
P093,scripts/uvb76_capture_state_contracts/line_limits.py,python,0,verifier,,cmd/uvb76-capture-state,migration-required,Bootstrap inventory - Python verifier
P094,scripts/uvb76_capture_state_contracts/reporting.py,python,0,verifier,,cmd/uvb76-capture-state,migration-required,Bootstrap inventory - Python verifier
P095,scripts/uvb76_capture_state_contracts/runner.py,python,0,verifier,,cmd/uvb76-capture-state,migration-required,Bootstrap inventory - Python verifier
P096,scripts/uvb76_capture_state_contracts/self_tests.py,python,0,verifier,,cmd/uvb76-capture-state,migration-required,Bootstrap inventory - Python verifier
P097,scripts/uvb76_capture_state_contracts/skip_allowlist.py,python,0,verifier,,cmd/uvb76-capture-state,migration-required,Bootstrap inventory - Python verifier
P098,scripts/uvb76_capture_state_contracts/status_contract.py,python,0,verifier,,cmd/uvb76-capture-state,migration-required,Bootstrap inventory - Python verifier
P099,scripts/verify_cli_boundary_bypass.py,python,0,verifier,,cmd/verify-cli-boundary,migration-required,Bootstrap inventory - Python verifier
P100,scripts/verify_cli_composition_inventory.py,python,0,verifier,,cmd/verify-cli-composition,migration-required,Bootstrap inventory - Python verifier
P101,scripts/verify_cold_resume_checkpoints.py,python,0,verifier,,cmd/verify-cold-resume,migration-required,Bootstrap inventory - Python verifier
P102,scripts/verify_cold_resume_checkpoints_fixtures.py,python,0,verifier,,cmd/verify-cold-resume,migration-required,Bootstrap inventory - Python verifier
P103,scripts/verify_effect_boundaries.py,python,0,verifier,,cmd/verify-effect-boundaries,migration-required,Bootstrap inventory - Python verifier
P104,scripts/verify_frontend_test_hygiene.py,python,0,verifier,,cmd/verify-frontend,migration-required,Bootstrap inventory - Python verifier
P105,scripts/verify_idle_staircase_artifact.py,python,0,verifier,verify-idle-staircase-artifact,cmd/verify-idle-staircase,migration-required,Bootstrap inventory - Python verifier
P106,scripts/verify_idle_staircase_native_heartbeat_smoke.py,python,0,verifier,,cmd/verify-idle-staircase,migration-required,Bootstrap inventory - Python verifier
P107,scripts/verify_linux_read_boundary_bypass.py,python,0,verifier,,cmd/verify-read-boundary,migration-required,Bootstrap inventory - Python verifier
P108,scripts/verify_manifesto_axiom_coverage.py,python,0,verifier,,cmd/verify-manifesto,migration-required,Bootstrap inventory - Python verifier
P109,scripts/verify_memory_attribution_matrix.py,python,0,verifier,verify-memory-attribution-matrix,cmd/verify-memory-matrix,migration-required,Bootstrap inventory - Python verifier
P110,scripts/verify_memory_budgets.py,python,0,verifier,verify-memory-budgets,cmd/verify-memory-budgets,migration-required,Bootstrap inventory - Python verifier
P111,scripts/verify_memory_budgets_ci.py,python,0,verifier,,cmd/verify-memory-budgets,migration-required,Bootstrap inventory - Python verifier
